  Grid, Temperature, Uvec, density, HCO+(x200), H3O+, E, ePotential, efield
   5.313e-02,   2.236e+03,   5.111e+00,   1.651e-01,   1.136e-05,   1.698e+09,   1.698e+09,   4.510e-01,   4.076e-01
   5.375e-02,   2.237e+03,   5.112e+00,   1.650e-01,   1.104e-05,   1.483e+09,   1.483e+09,   4.255e-01,   3.253e-01
   5.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.090e-05,   1.195e+09,   1.195e+09,   3.848e-01,   2.778e-01
   5.625e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   9.944e+08,   9.946e+08,   3.501e-01,   2.415e-01
   5.750e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   8.478e+08,   8.480e+08,   3.199e-01,   1.850e-01
   6.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   6.642e+08,   6.642e+08,   2.737e-01,   1.556e-01
   6.250e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   5.415e+08,   5.415e+08,   2.348e-01,   1.340e-01
   6.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   4.547e+08,   4.547e+08,   2.013e-01,   1.176e-01
   6.750e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   3.904e+08,   3.905e+08,   1.719e-01,   1.047e-01
   7.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   3.413e+08,   3.413e+08,   1.457e-01,   8.339e-02
   7.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   2.763e+08,   2.763e+08,   1.040e-01,   7.245e-02
   8.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   2.308e+08,   2.308e+08,   6.780e-02,   6.437e-02
   8.500e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   1.975e+08,   1.975e+08,   3.562e-02,   5.710e-02
   9.000e-02,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   1.727e+08,   1.727e+08,   7.068e-03,   7.068e-03
   1.000e-01,   2.237e+03,   5.113e+00,   1.650e-01,   1.087e-05,   1.727e+08,   1.727e+08,   0.000e+00,   7.068e-03
